ms,speed,elevation,temperature,cadence,power,distance,positionLat,positionLong
111.0,3.256,314.0,812.2,35.0,53.0,391.64,44.55442,6.48021
111.0,3.21,273.0,812.4,35.0,53.0,395.09,44.55444,6.48023
110.0,3.163,300.0,812.6,35.0,53.0,398.42,44.55447,6.48026
110.0,3.219,329.0,812.8,35.0,54.0,401.8,44.55449,6.48029
110.0,3.107,292.0,813.0,35.0,54.0,405.16,44.55452,6.48031
110.0,3.172,268.0,813.2,35.0,52.0,408.57,44.55454,6.48034
111.0,3.172,320.0,813.4,35.0,52.0,412.02,44.55457,6.48036
111.0,3.294,320.0,813.6,35.0,53.0,415.57,44.55459,6.48039
111.0,3.256,304.0,814.0,35.0,54.0,419.19,44.55462,6.48042
111.0,3.023,274.0,814.2,35.0,53.0,422.51,44.55463,6.48045
111.0,3.154,331.0,814.6,35.0,53.0,425.78,44.55466,6.48048
111.0,3.238,342.0,814.8,35.0,53.0,429.11,44.55468,6.48051
111.0,3.331,342.0,815.4,35.0,56.0,432.51,44.5547,6.48053
111.0,3.499,316.0,815.8,35.0,57.0,436.15,44.55473,6.48056
112.0,3.359,279.0,816.0,35.0,51.0,439.81,44.55475,6.48059
112.0,3.331,289.0,816.0,35.0,50.0,443.35,44.55478,6.48063
112.0,3.462,308.0,816.4,35.0,50.0,446.92,44.5548,6.48066
112.0,3.303,308.0,816.8,35.0,50.0,450.39,44.55482,6.48068
113.0,3.396,315.0,817.0,35.0,50.0,453.82,44.55484,6.48071
112.0,3.387,311.0,817.4,35.0,51.0,457.37,44.55487,6.48074
112.0,3.312,319.0,817.8,35.0,51.0,460.79,44.5549,6.48077
113.0,3.396,303.0,818.0,35.0,51.0,464.33,44.55492,6.48079
113.0,3.508,326.0,818.4,35.0,51.0,467.93,44.55495,6.48082
113.0,3.602,326.0,818.6,35.0,51.0,471.68,44.55498,6.48085
113.0,3.583,322.0,819.0,35.0,52.0,475.47,44.555,6.48088
113.0,3.294,310.0,819.4,35.0,52.0,479.03,44.55502,6.48091
114.0,3.088,293.0,819.6,35.0,51.0,482.34,44.55504,6.48094
114.0,3.303,331.0,820.0,35.0,50.0,485.75,44.55506,6.48097
114.0,3.387,366.0,820.0,35.0,52.0,489.21,44.55508,6.481
114.0,3.602,350.0,820.4,35.0,52.0,492.81,44.55511,6.48103
114.0,3.732,350.0,820.8,35.0,54.0,496.66,44.55513,6.48107
114.0,3.835,339.0,821.0,34.0,58.0,500.77,44.55516,6.4811
114.0,4.012,254.0,821.2,34.0,60.0,504.96,44.55519,6.48113
115.0,4.255,35.0,821.4,34.0,60.0,509.26,44.55522,6.48117
114.0,4.106,35.0,821.8,34.0,28.0,513.62,44.55525,6.48121
114.0,4.563,128.0,822.0,34.0,68.0,518.21,44.55528,6.48125
114.0,5.039,153.0,822.2,34.0,74.0,523.28,44.55531,6.4813
113.0,5.654,131.0,822.6,34.0,81.0,528.85,44.55534,6.48135
113.0,6.121,23.0,822.8,34.0,62.0,534.95,44.55538,6.4814
111.0,6.224,2.0,823.2,34.0,49.0,541.33,44.55542,6.48147
111.0,6.541,0.0,823.4,34.0,49.0,547.82,44.55545,6.48153
110.0,6.643,0.0,823.6,34.0,49.0,554.59,44.55548,6.48161
108.0,6.867,0.0,823.6,34.0,0.0,561.53,44.5555,6.48169
107.0,7.11,0.0,823.6,34.0,0.0,568.66,44.55553,6.48178
107.0,7.39,0.0,823.6,34.0,0.0,575.98,44.55555,6.48186
105.0,7.679,0.0,823.6,34.0,0.0,583.77,44.55556,6.48196
104.0,7.912,0.0,823.6,34.0,0.0,591.82,44.55559,6.48205
101.0,8.314,0.0,823.6,34.0,0.0,600.09,44.55561,6.48215
100.0,7.772,0.0,823.6,34.0,0.0,608.29,44.55563,6.48225
98.0,7.138,0.0,823.2,34.0,0.0,615.78,44.55566,6.48234
97.0,6.83,0.0,823.2,34.0,0.0,622.93,44.55569,6.48242
95.0,6.755,0.0,823.0,34.0,0.0,629.9,44.55572,6.4825
94.0,6.41,0.0,822.6,34.0,0.0,636.59,44.55575,6.48257
94.0,6.392,0.0,822.4,34.0,0.0,643.19,44.55579,6.48263
93.0,6.755,0.0,822.0,34.0,0.0,649.94,44.55583,6.48269
92.0,6.933,0.0,821.6,34.0,0.0,656.94,44.55588,6.48275
92.0,7.166,0.0,821.4,34.0,0.0,664.16,44.55593,6.48281
92.0,7.222,0.0,821.2,34.0,0.0,671.51,44.55598,6.48287
89.0,7.157,0.0,820.6,34.0,0.0,678.82,44.55603,6.48293
88.0,7.129,0.0,820.2,34.0,0.0,686.11,44.55608,6.48299
86.0,7.399,0.0,819.6,34.0,0.0,693.55,44.55613,6.48304
86.0,7.222,0.0,819.0,34.0,0.0,701.03,44.55619,6.4831
86.0,6.662,0.0,818.4,34.0,0.0,707.98,44.55624,6.48313
85.0,6.494,0.0,818.0,34.0,3.0,714.73,44.5563,6.48314
84.0,6.317,253.0,817.6,34.0,72.0,721.47,44.55637,6.48314
84.0,6.97,293.0,817.0,34.0,73.0,728.37,44.55643,6.48313
85.0,7.259,305.0,816.4,34.0,74.0,735.9,44.5565,6.48312
